Name,Set code,Set name,Collector number,Foil,Rarity,Quantity,ManaBox ID,Scryfall ID,Purchase price,Misprint,Altered,Condition,Language,Purchase price currency
Thornwood Falls,FDN,Foundations,269,normal,common,2,100424,42799f51-0f8c-444b-974e-dae281a5c697,0.1,false,false,near_mint,en,USD
Path to Exile,OTC,Outlaws of Thunder Junction Commander,85,normal,uncommon,1,93790,a7aed564-2d2d-42c4-bf11-812bc1a0284c,1.28,false,false,near_mint,en,USD
Bushwhack,FDN,Foundations,215,normal,common,2,101469,03ebdb36-55e0-49dd-a514-785fbeb4ae19,0.18,false,false,near_mint,en,USD
Circuitous Route,FDN,Foundations,635,normal,uncommon,2,100946,a806dec2-d4f9-4f8d-a1dd-170777941131,0.44,false,false,near_mint,en,USD
Gigantosaurus,FDN,Foundations,718,foil,rare,1,101065,bc1c518a-dcb4-407c-85be-ed5935a24198,2.27,false,false,near_mint,en,USD
Imperious Perfect,FDN,Foundations,719,foil,uncommon,2,100758,83b4a09f-ea53-42b4-a41a-4299192a6fd3,0.29,false,false,near_mint,en,USD
Burgeoning,SPG,Special Guests,126,normal,mythic,1,107510,a53c6a0e-9bbc-4a7b-8059-bc20806823d9,,false,false,near_mint,en,USD
Quakestrider Ceratops,FDN,Foundations,110,normal,uncommon,2,100120,067f72c2-ead6-4879-bc9d-696c9f87c0b2,0.15,false,false,near_mint,en,USD
"Surrak, the Hunt Caller",FDN,Foundations,647,normal,rare,1,101194,d6a8759d-0dc8-4218-93ac-b1a35088f776,0.13,false,false,near_mint,en,USD
Vizier of the Menagerie,FDN,Foundations,649,normal,mythic,1,100318,3010ec33-c3f6-42ce-ad5a-e149e5c9a805,0.93,false,false,near_mint,en,USD
Wary Thespian,FDN,Foundations,235,normal,common,1,101574,a3d62d04-0974-4cb5-9a35-5e996c6456e2,0.02,false,false,near_mint,en,USD
Broken Wings,FDN,Foundations,214,normal,common,1,100584,61f9cbeb-cc9c-4562-be65-8a77053faefe,0.04,false,false,near_mint,en,USD
Bite Down,FDN,Foundations,212,normal,common,2,101625,f8d70b3b-f6f9-4b3c-ad70-0ce369e812b5,0.11,false,false,near_mint,en,USD
Pilgrim's Eye,SCD,Starter Commander Decks,271,normal,common,1,77312,3f1f7a03-97a6-4238-9add-4947e784fd08,0.1,false,false,near_mint,en,USD
Fireshrieker,FDN,Foundations,674,normal,uncommon,1,100451,484fbce6-71bd-40eb-a71b-86958a094708,0.27,false,false,near_mint,en,USD
Skyscanner,SCD,Starter Commander Decks,274,normal,common,1,77513,c8ab2d4a-9559-46e8-b393-ad5a4189f74e,0.11,false,false,near_mint,en,USD
Feldon's Cane,FDN,Foundations,673,normal,uncommon,1,100091,026f55c3-8e65-4520-b26d-6208344f73b2,0.37,false,false,near_mint,en,USD
Steel Hellkite,FDN,Foundations,681,normal,rare,1,100838,931ad21b-a6bb-4a89-8d6f-80adfcf126c7,0.24,false,false,near_mint,en,USD
Gate Colossus,FDN,Foundations,675,normal,uncommon,1,101068,bc49d9cb-8c7a-4a8f-96ea-bbe6ade8ae00,0.09,false,false,near_mint,en,USD
Juggernaut,FDN,Foundations,255,normal,uncommon,1,101351,f4468fff-cd6f-428c-b7a0-ff89f5bbea2e,0.05,false,false,near_mint,en,USD
Meteor Golem,FDN,Foundations,256,normal,uncommon,1,101167,d291ea1e-36bc-46b3-b3ae-084fa0ba69eb,0.1,false,false,near_mint,en,USD
Pyromancer's Goggles,FDN,Foundations,677,normal,mythic,1,101346,f340d8a4-196a-4433-807c-b7124e96e44f,0.73,false,false,near_mint,en,USD
Quick-Draw Katana,FDN,Foundations,130,normal,common,2,101540,69beec98-c89c-4673-953c-8b3ef3d81560,0.06,false,false,near_mint,en,USD
"Ramos, Dragon Engine",FDN,Foundations,678,normal,mythic,1,100817,8f95f753-bbaa-4282-9cd9-f1737136fc9e,1.83,false,false,near_mint,en,USD
Ravenous Amulet,FDN,Foundations,131,normal,uncommon,1,100744,80cadee5-6f26-4440-ad31-a8e573a90436,0.08,false,false,near_mint,en,USD
Sorcerous Spyglass,FDN,Foundations,679,normal,uncommon,1,100166,0f99356b-eed0-4d92-818b-80754bcb75f3,0.08,false,false,near_mint,en,USD
Soul-Guide Lantern,FDN,Foundations,680,normal,uncommon,1,100649,6d3ff537-86f0-405e-b96b-1250720af031,0.18,false,false,near_mint,en,USD
Three Tree Mascot,FDN,Foundations,682,normal,common,1,100412,40b8bf3a-1cb5-4ce2-ac25-9410f17130de,0.14,false,false,near_mint,en,USD
